id_venta,producto,precio,fecha,cantidad,nombre_cliente,email_cliente,dirección_cliente,mes,total_venta
v01,COLLAR,70,27/03/2023,3,Nicole Pitts MD,perkinscorey@example.com,"692 Huynh Rest Suite 561, New Nathan, IA 50339",3,"210,00"
v010,ARETES,255,28/03/2023,10,Rebecca Alvarado,gregory72@example.net,"232 Fleming Glen, Smithfurt, NV 25136",3,"2.550,00"
v0100,COLLAR,441,29/03/2023,10,Gregory Simmons,pearsonjennifer@example.net,"574 Christina Springs, Christophermouth, VT 07962",3,"4.410,00"
v01000,ANILLO,387,30/03/2023,3,Denise Pitts,flemingdaniel@example.org,"74797 Kelly Lake Suite 841, Stacychester, MS 81364",3,"1.161,00"
v01001,ANILLO,95,31/03/2023,4,Todd Cook,mary59@example.net,"26984 Nguyen Shore Apt. 801, Archerchester, NJ 66856",3,"380,00"
v01002,ARETES,321,01/04/2023,4,Anna Russo,thomas48@example.net,"788 Molina Spring Suite 790, West Allisonport, MT 01810",4,"1.284,00"
v01003,ANILLO,406,02/04/2023,5,Krystal Malone,annthomas@example.net,"2279 Martinez Corners Suite 783, Nielsenburgh, NM 30974",4,"2.030,00"
v01004,COLLAR,323,03/04/2023,7,Ashley Barry,griffithkaren@example.com,"173 Anne Viaduct Apt. 953, Bryanshire, TX 44147",4,"2.261,00"
v01005,PULSERA,399,04/04/2023,9,Ricky Davis,xberry@example.org,"50729 Holly Squares Apt. 827, North Shane, IA 08398",4,"3.591,00"
v01006,PULSERA,342,05/04/2023,7,John Burch,donald03@example.net,"9415 Nicole Views, Ponceton, PA 48952",4,"2.394,00"
v01007,COLLAR,181,06/04/2023,7,Elizabeth May,jeffery01@example.net,"5758 Anthony Dale, North Aaronhaven, NJ 55355",4,"1.267,00"
v01008,PULSERA,349,07/04/2023,4,John Garcia,qdavis@example.com,"434 Patricia Valleys Suite 486, Port George, AR 95796",4,"1.396,00"
v01009,ARETES,74,08/04/2023,7,Elizabeth Jones,garrettjames@example.org,"644 Tracy Via, Williammouth, ME 65234",4,"518,00"
v0101,PULSERA,327,09/04/2023,5,Laura Hendrix,colleen69@example.net,"465 Tara Dam Suite 871, North Jenna, RI 31448",4,"1.635,00"
v01010,COLLAR,255,10/04/2023,6,Victoria Martinez,thomasjoyce@example.net,"85681 Bernard Gateway, Lake Douglas, FL 80264",4,"1.530,00"
v01011,PULSERA,109,11/04/2023,9,Brittany Jones,vmejia@example.com,"2295 Heidi Lock, West Michael, PW 65412",4,"981,00"
v01012,PULSERA,127,12/04/2023,1,Rachel Fitzgerald,fcastro@example.org,"91014 Stefanie Garden, North Craigstad, FL 53640",4,"127,00"
v01013,COLLAR,139,13/04/2023,4,Zachary Brown,joylambert@example.org,"134 Madison Trail, Michelleshire, IL 57111",4,"556,00"
v01014,COLLAR,286,14/04/2023,3,Judy Park,robert99@example.org,"Unit 9909 Box 4462, DPO AP 43048",4,"858,00"
v01015,PULSERA,273,15/04/2023,10,Alexander Jenkins,reevesrebecca@example.com,"9828 Newman Fork, Simmonsport, WV 79063",4,"2.730,00"
v01016,PULSERA,125,16/04/2023,9,Courtney Stanton,cindylee@example.com,"0396 Timothy River Apt. 088, Myersshire, PW 19485",4,"1.125,00"
