id_venta,producto,precio,fecha,cantidad,nombre_cliente,email_cliente,dirección_cliente,mes,total_venta
v01,COLLAR,70,27/03/2023,3,Nicole Pitts MD,perkinscorey@example.com,"692 Huynh Rest Suite 561, New Nathan, IA 50339",03,210
v010,ARETES,255,28/03/2023,10,Rebecca Alvarado,gregory72@example.net,"232 Fleming Glen, Smithfurt, NV 25136",03,2550
v0100,COLLAR,441,29/03/2023,10,Gregory Simmons,pearsonjennifer@example.net,"574 Christina Springs, Christophermouth, VT 07962",03,4410
v01000,ANILLO,387,30/03/2023,3,Denise Pitts,flemingdaniel@example.org,"74797 Kelly Lake Suite 841, Stacychester, MS 81364",03,1161
v01001,ANILLO,95,31/03/2023,4,Todd Cook,mary59@example.net,"26984 Nguyen Shore Apt. 801, Archerchester, NJ 66856",03,380
v01002,ARETES,321,01/04/2023,4,Anna Russo,thomas48@example.net,"788 Molina Spring Suite 790, West Allisonport, MT 01810",04,1284
v01003,ANILLO,406,02/04/2023,5,Krystal Malone,annthomas@example.net,"2279 Martinez Corners Suite 783, Nielsenburgh, NM 30974",04,2030
v01004,COLLAR,323,03/04/2023,7,Ashley Barry,griffithkaren@example.com,"173 Anne Viaduct Apt. 953, Bryanshire, TX 44147",04,2261
v01005,PULSERA,399,04/04/2023,9,Ricky Davis,xberry@example.org,"50729 Holly Squares Apt. 827, North Shane, IA 08398",04,3591
v01006,PULSERA,342,05/04/2023,7,John Burch,donald03@example.net,"9415 Nicole Views, Ponceton, PA 48952",04,2394
v01007,COLLAR,181,06/04/2023,7,Elizabeth May,jeffery01@example.net,"5758 Anthony Dale, North Aaronhaven, NJ 55355",04,1267
v01008,PULSERA,349,07/04/2023,4,John Garcia,qdavis@example.com,"434 Patricia Valleys Suite 486, Port George, AR 95796",04,1396
v01009,ARETES,74,08/04/2023,7,Elizabeth Jones,garrettjames@example.org,"644 Tracy Via, Williammouth, ME 65234",04,518
v0101,PULSERA,327,09/04/2023,5,Laura Hendrix,colleen69@example.net,"465 Tara Dam Suite 871, North Jenna, RI 31448",04,1635
